date,team,player,injury,duration,notes,long_name
2015-12-22,CGY,Michael Frolik,torso,25,placed on IR with upper body injury,Flames
2015-12-16,CGY,Michael Frolik,torso,105,upper body injury (DTD),Flames
2017-03-10,CGY,Michael Stone,torso,upper body injury (DTD),upper body injury (DTD),Flames
2014-11-10,CGY,Micheal Ferland,head,10,placed on IR with concussion,Flames
2015-10-28,CGY,Micheal Ferland,ul,13,placed on IR with sprained MCL in knee,Flames
2016-01-22,CGY,Micheal Ferland,torso,12,placed on IR with upper body injury,Flames
2014-11-01,CGY,Micheal Ferland,head,1,concussion (DTD),Flames
2015-05-03,CGY,Micheal Ferland,torso,620,upper body injury (out for season),Flames
2013-02-08,CGY,Miikka Kiprusoff,ul,26,placed on IR with sprained knee,Flames
2013-02-06,CGY,Miikka Kiprusoff,ul,sprained knee (DTD),sprained knee (DTD),Flames
2011-10-04,CGY,Mikael Backlund,la,38,placed on IR with broken finger,Flames
2012-02-16,CGY,Mikael Backlund,ua,1,placed on IR with left arm injury (out for season),Flames
2013-02-08,CGY,Mikael Backlund,ul,29,placed on IR with sprained MCL in knee,Flames
2014-10-30,CGY,Mikael Backlund,torso,69,placed on IR with abdominal injury,Flames
2012-02-12,CGY,Mikael Backlund,ua,1,left arm injury (out indefinitely),Flames
2014-04-04,CGY,Mikael Backlund,la,365,hand injury (out for season),Flames
2010-01-24,CGY,Nigel Dawes,ll,leg injury (DTD),leg injury (DTD),Flames
2011-02-03,CGY,Niklas Hagman,torso,1,lower body injury (DTD),Flames
2011-03-23,CGY,Niklas Hagman,head,365,concussion (out for season),Flames
2007-12-18,CGY,Owen Nolan,head,32,neck injury (DTD),Flames
2013-02-14,CGY,Paul Byron,la,59,placed on IR with fractured left hand,Flames
2015-02-23,CGY,Paul Byron,torso,32,placed on IR with lower body injury,Flames
2014-01-21,CGY,Paul Byron,torso,432,lower body injury (DTD),Flames
2011-10-05,CGY,Raitis Ivanans,head,91,placed on IR with concussion,Flames
2010-10-14,CGY,Raitis Ivanans,head,365,head injury (out for season),Flames
2009-02-21,CGY,Rene Bourque,ll,1,placed on IR with ankle injury,Flames
2009-02-20,CGY,Rene Bourque,ll,1,ankle injury (out indefinitely),Flames
2009-04-22,CGY,Rene Bourque,torso,1,upper body injury (left game),Flames
2010-10-14,CGY,Rene Bourque,head,head injury (DTD),head injury (DTD),Flames
2007-11-03,CGY,Rhett Warrener,head,1,throat injury (DTD),Flames
2007-11-25,CGY,Rhett Warrener,ll,1,fractured leg (out 6-8 weeks),Flames
2008-10-08,CGY,Rhett Warrener,torso,placed on IR with shoulder injury,placed on IR with shoulder injury,Flames
2007-04-07,CGY,Robyn Regehr,ul,1,knee injury (DTD),Flames
2009-04-03,CGY,Robyn Regehr,torso,1,lower body injury (out for season),Flames
2009-12-07,CGY,Robyn Regehr,ll,1,leg injury (DTD),Flames
2010-11-21,CGY,Robyn Regehr,ul,1,knee injury (DTD),Flames
2011-01-14,CGY,Robyn Regehr,ll,leg injury (DTD),leg injury (DTD),Flames
2015-10-06,CGY,Ryan Culkin,torso,placed on IR with shoulder injury,placed on IR with shoulder injury,Flames
2010-09-29,CGY,Ryan Stone,ul,3000,knee injury (out indefinitely),Flames
2014-10-06,CGY,Sam Bennett,torso,138,placed on IR with shoulder injury,Flames
2015-10-17,CGY,Sam Bennett,torso,145,upper body injury (DTD),Flames
2012-01-07,CGY,Scott Hannan,torso,10,placed on IR with upper body injury,Flames
2013-11-28,CGY,Sean Monahan,ll,16,placed on IR with fractured foot,Flames
2007-11-29,CGY,Stephane Yelle,ul,1,groin injury (DTD),Flames
2008-04-05,CGY,Stephane Yelle,ll,leg injury (DTD),leg injury (DTD),Flames
2013-04-21,CGY,Steve Begin,la,365,hand injury (out for season),Flames
2010-12-06,CGY,Steve Staios,torso,59,placed on IR with shoulder injury,Flames
2011-02-01,CGY,Steve Staios,torso,4,upper body injury (DTD),Flames
2013-02-05,CGY,Sven Baertschi,ul,18,placed on IR with hip flexor injury,Flames
2013-01-29,CGY,Sven Baertschi,torso,lower body injury (DTD),lower body injury (DTD),Flames
2015-10-06,CGY,T.J. Brodie,la,22,placed on IR with fractured hand,Flames
2012-03-11,CGY,T.J. Brodie,torso,1460,upper body injury (out for season),Flames
2013-11-27,CGY,T.J. Galiardi,torso,15,placed on IR with back spasms,Flames
2014-03-05,CGY,T.J. Galiardi,torso,upper body injury (DTD),upper body injury (DTD),Flames
2012-03-07,CGY,Tim Jackman,torso,upper body injury (DTD),upper body injury (DTD),Flames
2009-01-08,CGY,Todd Bertuzzi,torso,1,back injury (DTD),Flames
2009-03-03,CGY,Todd Bertuzzi,ul,1,knee injury (DTD),Flames
2016-12-27,CGY,Troy Brouwer,la,finger injury (DTD),finger injury (DTD),Flames
2014-04-03,CGY,Tyler Wotherspoon,torso,365,upper body injury (out for season),Flames
2007-10-21,CGY,Wayne Primeau,ll,411,sprained ankle (out indefinitely),Flames
2008-12-09,CHI,Adam Burish,ll,21,placed on IR with right foot injury,Blackhawks
2009-09-30,CHI,Adam Burish,ul,157,placed on IR with torn ACL in right knee,Blackhawks
2008-11-29,CHI,Adam Burish,ll,1,leg injury (DTD),Blackhawks
2009-09-22,CHI,Adam Burish,ul,3000,torn ACL in right knee (out indefinitely),Blackhawks
2007-10-02,CHI,Andrei Zyuzin,ul,152,groin injury (DTD),Blackhawks
2012-02-03,CHI,Andrew Brunette,torso,58,upper body injury (DTD),Blackhawks
2016-10-10,CHI,Andrew Desjardins,torso,26,placed on IR with lower body injury,Blackhawks
2016-11-05,CHI,Andrew Desjardins,torso,lower body injury (DTD),lower body injury (DTD),Blackhawks
2010-05-24,CHI,Andrew Ladd,torso,upper body injury (DTD),upper body injury (DTD),Blackhawks
2013-12-04,CHI,Andrew Shaw,torso,850,upper body injury (DTD),Blackhawks
2016-12-22,CHI,Artem Anisimov,torso,5,placed on IR with upper body injury,Blackhawks
2016-03-27,CHI,Artem Anisimov,torso,1,lower body injury (DTD),Blackhawks
2016-05-03,CHI,Artem Anisimov,la,1,surgery on right wrist (out indefinitely),Blackhawks
2016-11-10,CHI,Artem Anisimov,torso,112,upper body injury (DTD),Blackhawks
2007-12-26,CHI,Ben Eager,head,29,placed on IR with concussion,Blackhawks
2009-10-07,CHI,Ben Eager,torso,33,placed on IR with upper body injury,Blackhawks
2008-02-02,CHI,Ben Eager,head,1,concussion (DTD),Blackhawks
2008-03-09,CHI,Ben Eager,torso,699,separated shoulder (out indefinitely),Blackhawks
2011-10-06,CHI,Ben Smith,head,43,placed on IR with concussion,Blackhawks
2013-11-09,CHI,Brad Mills,torso,6,placed on IR with lower body injury,Blackhawks
2013-10-31,CHI,Brad Mills,torso,lower body injury (DTD),lower body injury (DTD),Blackhawks
2014-12-21,CHI,Brad Richards,torso,107,upper body injury (DTD),Blackhawks
2014-10-06,CHI,Brandon Mashinter,torso,7,placed on IR with lower body injury,Blackhawks
2014-03-17,CHI,Brandon Saad,torso,upper body injury (DTD),upper body injury (DTD),Blackhawks
2009-10-24,CHI,Brent Seabrook,head,1,concussion (DTD),Blackhawks
2011-11-14,CHI,Brent Seabrook,torso,1850,lower body injury (DTD),Blackhawks
2007-12-30,CHI,Brent Sopel,la,12,placed on IR with broken finger,Blackhawks
2008-12-30,CHI,Brent Sopel,ua,1,placed on IR with elbow injury (out for season),Blackhawks
2008-02-24,CHI,Brent Sopel,la,1,left wrist injury (out 3-4 weeks),Blackhawks
2008-11-18,CHI,Brent Sopel,ua,1,elbow injury (out for season),Blackhawks
2010-02-14,CHI,Brent Sopel,ll,1,foot injury (DTD),Blackhawks
2010-03-07,CHI,Brent Sopel,torso,lower body injury (DTD),lower body injury (DTD),Blackhawks
2010-10-07,CHI,Brian Campbell,ul,25,placed on IR with sprained knee,Blackhawks
2010-03-15,CHI,Brian Campbell,torso,1,fractured clavicle and rib (out indefinitely),Blackhawks
2010-10-02,CHI,Brian Campbell,ul,1,sprained knee (out indefinitely),Blackhawks
2011-03-09,CHI,Brian Campbell,torso,1,lower body injury (DTD),Blackhawks
2011-03-14,CHI,Brian Campbell,ll,left leg injury (DTD),left leg injury (DTD),Blackhawks
2013-12-09,CHI,Bryan Bickell,torso,7,placed on IR with lower body injury,Blackhawks
2011-04-16,CHI,Bryan Bickell,la,1,right wrist injury (DTD),Blackhawks
2013-11-20,CHI,Bryan Bickell,torso,560,lower body injury (DTD),Blackhawks
2008-03-22,CHI,Cam Barker,head,1,head injury (DTD),Blackhawks
2008-12-30,CHI,Cam Barker,torso,371,lower body injury (DTD),Blackhawks
2016-12-06,CHI,Corey Crawford,torso,15,placed on IR with appendectomy,Blackhawks
2013-02-15,CHI,Corey Crawford,torso,1,upper body injury (DTD),Blackhawks
2014-12-02,CHI,Corey Crawford,ll,1,left leg injury (DTD),Blackhawks
2016-03-17,CHI,Corey Crawford,torso,261,upper body injury (DTD),Blackhawks
2012-01-17,CHI,Daniel Carcillo,ul,1,placed on IR recovering from surgery on left knee (out for season),Blackhawks
2011-12-15,CHI,Daniel Carcillo,torso,1,upper body injury (DTD),Blackhawks
2012-01-03,CHI,Daniel Carcillo,ul,1,left knee injury (DTD),Blackhawks
2015-04-09,CHI,Daniel Carcillo,torso,365,upper body injury (out for season),Blackhawks
2007-12-26,CHI,Dave Bolland,la,35,placed on IR with broken finger,Blackhawks
2009-11-12,CHI,Dave Bolland,torso,1,placed on IR recovering from surgery on back,Blackhawks
2008-03-02,CHI,Dave Bolland,ul,1,hip flexor injury (DTD),Blackhawks
2009-04-01,CHI,Dave Bolland,ll,1,foot injury (DTD),Blackhawks
2009-10-07,CHI,Dave Bolland,torso,1,back injury (DTD),Blackhawks
2011-03-10,CHI,Dave Bolland,head,1,concussion (out indefinitely),Blackhawks
2011-10-07,CHI,Dave Bolland,torso,1,upper body injury (DTD),Blackhawks
2011-11-09,CHI,Dave Bolland,ll,1,foot injury (DTD),Blackhawks
2012-04-04,CHI,Dave Bolland,torso,1,upper body injury (out for season),Blackhawks
2013-02-02,CHI,Dave Bolland,ll,1,right leg injury (DTD),Blackhawks
2013-02-24,CHI,Dave Bolland,torso,1,upper (Y) / lower (CBC) body injury (DTD),Blackhawks
2013-04-05,CHI,Dave Bolland,ll,1,foot injury (DTD),Blackhawks
2013-04-23,CHI,Dave Bolland,ul,groin injury (DTD),groin injury (DTD),Blackhawks
2007-10-26,CHI,David Koci,head,placed on IR with broken nose,placed on IR with broken nose,Blackhawks
2015-10-20,CHI,Duncan Keith,ul,24,placed on IR with surgery on right knee,Blackhawks
2009-01-14,CHI,Duncan Keith,head,1,head/shoulder injury (left game),Blackhawks
2009-01-16,CHI,Duncan Keith,torso,1,shoulder injury (DTD),Blackhawks
2011-11-01,CHI,Duncan Keith,la,left hand injury (DTD),left hand injury (DTD),Blackhawks
2016-01-14,CHI,Erik Gustafsson,torso,lower body injury (DTD),lower body injury (DTD),Blackhawks
2010-11-27,CHI,Fernando Pisani,torso,1,upper body injury (DTD),Blackhawks
2011-02-11,CHI,Fernando Pisani,head,head injury (DTD),head injury (DTD),Blackhawks
2016-10-26,CHI,Gustav Forsling,torso,upper body injury (DTD),upper body injury (DTD),Blackhawks
2007-11-29,CHI,Jake Dowell,ll,30,broken foot (out 3-4 weeks),Blackhawks
2008-09-23,CHI,James Wisniewski,ul,84,placed on IR with torn ACL in right knee,Blackhawks
2007-03-09,CHI,James Wisniewski,ul,1,right knee injury (out for remainder of regular season),Blackhawks
2007-11-28,CHI,James Wisniewski,torso,1,facial injury (DTD),Blackhawks
2007-12-30,CHI,James Wisniewski,ul,3000,sprained right knee (out indefinitely),Blackhawks
2007-12-06,CHI,Jason Williams,ul,1,placed on IR with groin injury,Blackhawks
2008-01-18,CHI,Jason Williams,torso,3000,sports hernia (out indefinitely),Blackhawks
2007-03-23,CHI,Jeff Hamilton,torso,back injury (DTD),back injury (DTD),Blackhawks
2015-03-27,CHI,Joakim Nordstrom,torso,upper body injury (DTD),upper body injury (DTD),Blackhawks
2010-02-14,CHI,John Madden,torso,16,placed on IR with lower body injury,Blackhawks
2010-02-10,CHI,John Madden,torso,lower body injury (DTD),lower body injury (DTD),Blackhawks
2015-02-27,CHI,Johnny Oduya,torso,13,placed on IR with upper body injury,Blackhawks
2014-02-05,CHI,Johnny Oduya,torso,1,lower body injury (DTD),Blackhawks
2017-03-03,CHI,Johnny Oduya,ll,ankle injury (DTD),ankle injury (DTD),Blackhawks
2012-01-24,CHI,Jonathan Toews,la,7,placed on IR with left wrist injury,Blackhawks
2016-12-02,CHI,Jonathan Toews,torso,11,placed on IR with upper body injury,Blackhawks
2007-09-21,CHI,Jonathan Toews,la,1,broken finger (DTD),Blackhawks
2008-01-03,CHI,Jonathan Toews,ul,1,sprained knee (out indefinitely),Blackhawks
2009-10-24,CHI,Jonathan Toews,head,1,concussion (DTD),Blackhawks
2010-12-30,CHI,Jonathan Toews,torso,1,upper body injury (DTD),Blackhawks
2012-01-22,CHI,Jonathan Toews,la,1,left wrist injury (DTD),Blackhawks
2012-02-21,CHI,Jonathan Toews,head,1,concussion (out for season),Blackhawks
2014-03-31,CHI,Jonathan Toews,torso,969,upper body injury (out for season),Blackhawks
2011-02-28,CHI,Jordan Hendry,ul,365,torn ACL in left knee (out for season),Blackhawks
2016-11-26,CHI,Jordin Tootoo,torso,lower body injury (DTD),lower body injury (DTD),Blackhawks
2007-11-08,CHI,Kevyn Adams,ul,365,torn ACL in knee (likely out for season),Blackhawks
2010-03-14,CHI,Kim Johnsson,torso,365,upper body injury (out for season),Blackhawks
2015-04-06,CHI,Kimmo Timonen,torso,upper body injury (DTD),upper body injury (DTD),Blackhawks
2015-01-25,CHI,Kris Versteeg,la,17,placed on IR with left hand injury,Blackhawks
2009-01-22,CHI,Kris Versteeg,la,1,right hand finger injury (DTD),Blackhawks
2009-11-15,CHI,Kris Versteeg,torso,1,upper body injury (DTD),Blackhawks
2015-01-02,CHI,Kris Versteeg,la,1,left hand injury (DTD),Blackhawks
2015-05-01,CHI,Kris Versteeg,torso,lower body injury (DTD),lower body injury (DTD),Blackhawks
2012-01-04,CHI,Marcus Kruger,head,9,placed on IR with concussion,Blackhawks
2015-12-28,CHI,Marcus Kruger,la,88,placed on IR with left wrist injury (surgery),Blackhawks
2016-12-31,CHI,Marcus Kruger,torso,24,placed on IR with upper body injury,Blackhawks
2011-12-21,CHI,Marcus Kruger,head,1,head injury (DTD),Blackhawks
2015-12-18,CHI,Marcus Kruger,la,3000,left wrist injury (surgery) (out indefinitely),Blackhawks
2009-09-30,CHI,Marian Hossa,torso,56,placed on IR recovering from surgery on right shoulder,Blackhawks
2010-12-08,CHI,Marian Hossa,torso,18,placed on IR with lower body injury,Blackhawks
2013-03-29,CHI,Marian Hossa,torso,6,placed on IR with upper body injury,Blackhawks
2016-02-14,CHI,Marian Hossa,ll,26,placed on IR with leg injury,Blackhawks
2016-12-27,CHI,Marian Hossa,torso,8,placed on IR with upper body injury,Blackhawks
2009-09-14,CHI,Marian Hossa,torso,1,surgery on right shoulder (out indefinitely),Blackhawks
2010-02-14,CHI,Marian Hossa,head,1,head injury (DTD),Blackhawks
2010-03-14,CHI,Marian Hossa,torso,1,upper body injury (DTD),Blackhawks
2012-04-18,CHI,Marian Hossa,head,1,head injury (out for season),Blackhawks
2013-03-06,CHI,Marian Hossa,torso,1386,upper body injury (DTD),Blackhawks
2007-12-26,CHI,Martin Havlat,ul,11,placed on IR with groin injury,Blackhawks
2007-04-05,CHI,Martin Havlat,torso,1,shoulder injury (out for season),Blackhawks
2007-12-23,CHI,Martin Havlat,ul,1,groin injury (out indefinitely),Blackhawks
2008-02-28,CHI,Martin Havlat,torso,377,left shoulder injury (out for season),Blackhawks
2008-01-16,CHI,Martin Lapointe,torso,flu (bruised kidney per CBC) (DTD),flu (bruised kidney per CBC) (DTD),Blackhawks
2009-03-22,CHI,Matt Walker,torso,upper body injury (DTD),upper body injury (DTD),Blackhawks
2011-11-18,CHI,Michael Frolik,torso,shoulder injury (DTD),shoulder injury (DTD),Blackhawks
2013-10-23,CHI,Michael Kostka,torso,46,placed on IR with lower body injury,Blackhawks
2013-11-14,CHI,Michal Handzus,torso,9,placed on IR with upper body injury,Blackhawks
2013-10-26,CHI,Michal Handzus,torso,upper body injury (DTD),upper body injury (DTD),Blackhawks
2015-10-06,CHI,Michal Rozsival,ll,38,placed on IR with ankle injury,Blackhawks
2017-01-29,CHI,Michal Rozsival,torso,14,placed on IR with lower body injury,Blackhawks
2013-01-30,CHI,Michal Rozsival,torso,1,lower body injury (DTD),Blackhawks
2015-05-07,CHI,Michal Rozsival,ll,1,fractured left ankle (out for season),Blackhawks
2016-02-01,CHI,Michal Rozsival,torso,39,lower body injury (DTD),Blackhawks
2007-04-05,CHI,Mikael Holmqvist,torso,365,shoulder injury (out for season),Blackhawks
2011-02-24,CHI,Nick Boynton,torso,upper body injury (DTD),upper body injury (DTD),Blackhawks
2017-02-28,CHI,Niklas Hjalmarsson,torso,1,placed on IR with upper body injury,Blackhawks
2010-01-02,CHI,Niklas Hjalmarsson,head,1,head injury (DTD),Blackhawks
2011-02-24,CHI,Niklas Hjalmarsson,torso,1,upper body injury (DTD),Blackhawks
2012-02-10,CHI,Niklas Hjalmarsson,head,1,flu (Y) / concussion (CBC) (DTD),Blackhawks
2017-02-24,CHI,Niklas Hjalmarsson,torso,upper body injury (DTD),upper body injury (DTD),Blackhawks
2009-02-18,CHI,Nikolai Khabibulin,ul,21,placed on IR with groin injury,Blackhawks
2013-11-17,CHI,Nikolai Khabibulin,ul,1,placed on IR with groin injury (out for season),Blackhawks
2008-02-23,CHI,Nikolai Khabibulin,torso,1,back spasms (DTD),Blackhawks
2009-02-12,CHI,Nikolai Khabibulin,ul,1,groin injury (DTD),Blackhawks
2009-05-24,CHI,Nikolai Khabibulin,torso,365,lower body injury (out for season),Blackhawks
2010-12-26,CHI,Patrick Kane,ll,1,placed on IR with left ankle/leg injury,Blackhawks
2014-03-20,CHI,Patrick Kane,ll,1,placed on IR with left leg injury (out for season),Blackhawks
2015-02-25,CHI,Patrick Kane,torso,48,placed on IR with fractured left clavicle,Blackhawks
2009-01-03,CHI,Patrick Kane,ll,1,high ankle sprain (DTD),Blackhawks
2009-12-13,CHI,Patrick Kane,torso,1,facial injury (DTD),Blackhawks
2010-12-06,CHI,Patrick Kane,ll,left ankle injury (DTD),left ankle injury (DTD),Blackhawks
2009-02-18,CHI,Patrick Sharp,ul,32,placed on IR with sprained left knee,Blackhawks
2012-01-09,CHI,Patrick Sharp,la,22,placed on IR with hand injury,Blackhawks
2013-03-07,CHI,Patrick Sharp,torso,33,placed on IR with sprained left shoulder,Blackhawks
2014-11-21,CHI,Patrick Sharp,ll,18,placed on IR with right leg injury,Blackhawks
2009-02-15,CHI,Patrick Sharp,ul,1,sprained left knee (DTD),Blackhawks
2009-04-04,CHI,Patrick Sharp,ll,1,left leg injury (DTD),Blackhawks
2010-10-09,CHI,Patrick Sharp,torso,1,upper body injury (DTD),Blackhawks
2011-03-21,CHI,Patrick Sharp,ul,1,left knee injury (out indefinitely),Blackhawks
2013-04-14,CHI,Patrick Sharp,torso,1,shoulder injury (DTD),Blackhawks
2014-11-05,CHI,Patrick Sharp,ll,right leg injury (DTD),right leg injury (DTD),Blackhawks
2015-10-06,CHI,Phillip Danault,ul,55,placed on IR with hip injury,Blackhawks
2007-03-15,CHI,Radim Vrbata,la,wrist injury (DTD),wrist injury (DTD),Blackhawks
2012-03-26,CHI,Ray Emery,torso,395,upper body injury (DTD),Blackhawks
2007-10-17,CHI,Rene Bourque,ul,1,groin injury (DTD),Blackhawks
2007-11-18,CHI,Rene Bourque,la,broken thumb (out 3-5 weeks),broken thumb (out 3-5 weeks),Blackhawks
2008-02-27,CHI,Robert Lang,ul,1,groin injury (DTD),Blackhawks
2008-03-23,CHI,Robert Lang,torso,sore back (DTD),sore back (DTD),Blackhawks
2013-01-19,CHI,Rostislav Olesz,ul,54,placed on IR with surgery on knee,Blackhawks
2016-10-15,CHI,Ryan Hartman,torso,lower body injury (DTD),lower body injury (DTD),Blackhawks
2011-02-12,CHI,Ryan Johnson,torso,8,placed on IR with upper body injury,Blackhawks
2011-01-31,CHI,Ryan Johnson,torso,lower body injury (DTD),lower body injury (DTD),Blackhawks
2012-03-07,CHI,Sami Lepisto,ll,3000,left leg injury (out indefinitely),Blackhawks
2017-03-03,CHI,Scott Darling,torso,upper body injury (DTD),upper body injury (DTD),Blackhawks
2012-01-04,CHI,Steve Montador,torso,3,placed on IR with upper body injury,Blackhawks
2012-02-10,CHI,Steve Montador,torso,46,placed on IR with upper body injury,Blackhawks
2013-01-19,CHI,Steve Montador,head,46,placed on IR with concussion,Blackhawks
2012-01-02,CHI,Steve Montador,torso,1,upper body injury (DTD),Blackhawks
2012-03-29,CHI,Steve Montador,head,344,concussion (out for season),Blackhawks
2015-11-19,CHI,Teuvo Teravainen,torso,upper body injury (DTD),upper body injury (DTD),Blackhawks
2015-02-11,CHI,Tim Erixon,torso,lower body injury (DTD),lower body injury (DTD),Blackhawks
2010-04-07,CHI,Tomas Kopecky,torso,372,upper body injury (DTD),Blackhawks
2015-12-07,CHI,Trevor Daley,torso,upper body injury (DTD),upper body injury (DTD),Blackhawks
2014-11-17,CHI,Trevor van Riemsdyk,ll,186,placed on IR with leg injury,Blackhawks
2016-11-05,CHI,Trevor van Riemsdyk,torso,27,placed on IR with upper body injury,Blackhawks
2015-06-03,CHI,Trevor van Riemsdyk,la,1,right wrist injury (DTD),Blackhawks
2016-10-22,CHI,Trevor van Riemsdyk,torso,upper body injury (DTD),upper body injury (DTD),Blackhawks
2009-03-31,CHI,Troy Brouwer,ul,1,knee injury (DTD),Blackhawks
2011-04-06,CHI,Troy Brouwer,torso,right shoulder injury (DTD),right shoulder injury (DTD),Blackhawks
2007-10-04,CHI,Tuomo Ruutu,ul,knee injury (DTD),knee injury (DTD),Blackhawks
2016-11-07,CHI,Tyler Motte,torso,lower body injury (DTD),lower body injury (DTD),Blackhawks
2011-10-05,CHI,Viktor Stalberg,ul,10,placed on IR with knee injury,Blackhawks
2010-12-16,CHI,Viktor Stalberg,torso,upper body injury (DTD),upper body injury (DTD),Blackhawks
2016-04-10,CHI,Viktor Svedberg,torso,lower body injury (DTD),lower body injury (DTD),Blackhawks
2016-11-16,CHI,Vinnie Hinostroza,torso,upper body injury (DTD),upper body injury (DTD),Blackhawks
2008-02-21,CHI,Yanic Perreault,la,right wrist injury (DTD),right wrist injury (DTD),Blackhawks
2008-11-29,COL,Adam Foote,torso,13,placed on IR with back injury,Avalanche
2009-01-05,COL,Adam Foote,ua,1,placed on IR with triceps injury,Avalanche
2010-11-07,COL,Adam Foote,head,6,placed on IR with concussion,Avalanche
2011-02-16,COL,Adam Foote,ll,17,placed on IR with buised leg,Avalanche
2008-03-08,COL,Adam Foote,ul,1,hip injury (DTD),Avalanche
2008-11-24,COL,Adam Foote,torso,1,back injury (DTD),Avalanche
2009-03-14,COL,Adam Foote,head,1,head injury (out for season),Avalanche
2010-01-09,COL,Adam Foote,ll,1,ankle injury (DTD),Avalanche
2010-02-12,COL,Adam Foote,torso,1,strained back (DTD),Avalanche
2010-10-22,COL,Adam Foote,head,1,head injury / concussion (DTD),Avalanche
2010-11-25,COL,Adam Foote,ll,112,leg/knee injury (DTD),Avalanche
2013-11-19,COL,Alex Tanguay,ul,64,placed on IR with sprained knee,Avalanche
2014-02-26,COL,Alex Tanguay,ul,644,placed on IR with sprained knee (out for season),Avalanche
2013-11-03,COL,Alex Tanguay,ul,1,sprained knee (DTD),Avalanche
2014-11-21,COL,Alex Tanguay,head,jaw injury (DTD),jaw injury (DTD),Avalanche
2013-11-16,COL,Andre Benoit,la,wrist injury (DTD),wrist injury (DTD),Avalanche
2008-11-22,COL,Ben Guite,torso,26,placed on IR with rib injury,Avalanche
2008-11-13,COL,Ben Guite,torso,rib injury (DTD),rib injury (DTD),Avalanche
2014-11-30,COL,Ben Street,la,44,placed on IR with hand injury (date 12-04 per CBC),Avalanche
2015-11-19,COL,Ben Street,torso,97,placed on IR with chest injury,Avalanche
2016-11-06,COL,Blake Comeau,ul,groin injury (DTD),groin injury (DTD),Avalanche
2015-01-16,COL,Borna Rendulic,ll,365,placed on IR with fractured leg (out for season),Avalanche
2007-12-15,COL,Brad Richardson,torso,shoulder injury (DTD),shoulder injury (DTD),Avalanche
2014-11-21,COL,Brad Stuart,ul,24,placed on IR with hamstring injury,Avalanche
2014-11-05,COL,Brad Stuart,ul,1,hamstring injury (out indefinitely),Avalanche
2015-04-11,COL,Brad Stuart,ll,1,leg injury (out for season),Avalanche
2015-10-24,COL,Brad Stuart,torso,back injury (DTD),back injury (DTD),Avalanche
2011-10-05,COL,Brandon Yip,ua,43,placed on IR with arm injury,Avalanche
2011-12-13,COL,Brandon Yip,ul,8,placed on IR with groin injury,Avalanche
2009-09-18,COL,Brandon Yip,la,1,hand injury (out indefinitely),Avalanche
2010-10-16,COL,Brandon Yip,ul,436,strained groin (DTD),Avalanche
2008-02-14,COL,Brett Clark,torso,1,shoulder injury (out indefinitely),Avalanche
2009-04-01,COL,Brett Clark,la,1,hand injury (out for season),Avalanche
2010-01-04,COL,Brett Clark,head,cheekbone injury (DTD),cheekbone injury (DTD),Avalanche
2008-12-05,COL,Brian Willsie,ul,knee injury (DTD),knee injury (DTD),Avalanche
2011-04-01,COL,Cameron Gaunce,la,365,hand injury (out for season),Avalanche
2016-03-07,COL,Chris Bigras,head,1,concussion (DTD),Avalanche
2016-04-05,COL,Chris Bigras,ll,365,foot injury (out for season),Avalanche
2010-11-28,COL,Chris Stewart,la,47,placed on IR with broken left hand,Avalanche
2011-12-12,COL,Chuck Kobasew,head,17,placed on IR with head injury,Avalanche
2011-12-04,COL,Chuck Kobasew,ll,1,left leg injury (DTD),Avalanche
2012-03-01,COL,Chuck Kobasew,torso,396,back injury (DTD),Avalanche
2008-02-12,COL,Cody McCormick,torso,25,placed on IR with shoulder injury (date approximate),Avalanche
2008-12-29,COL,Cody McCormick,ll,31,placed on IR with foot injury,Avalanche
2008-01-02,COL,Cody McCormick,ul,hip injury (DTD),hip injury (DTD),Avalanche
2009-10-22,COL,Cody McLeod,head,13,placed on IR with eye injury,Avalanche
2009-03-08,COL,Cody McLeod,torso,1,left shoulder injury (out indefinitely),Avalanche
2010-03-16,COL,Cody McLeod,ll,1,leg injury (DTD),Avalanche
2010-12-19,COL,Cody McLeod,ul,1,groin injury (DTD),Avalanche
2014-04-04,COL,Cody McLeod,ll,365,sprained ankle (out for season),Avalanche
2014-01-16,COL,Cory Sarich,torso,41,placed on IR with back injury,Avalanche
2014-01-14,COL,Cory Sarich,torso,79,back injury (DTD),Avalanche
2010-11-25,COL,Craig Anderson,ul,8,placed on IR with groin injury,Avalanche
2009-12-03,COL,Craig Anderson,head,1,head/neck injury (DTD),Avalanche
2010-10-26,COL,Craig Anderson,ul,right knee injury (DTD),right knee injury (DTD),Avalanche
2015-03-25,COL,Daniel Briere,ll,foot injury (DTD),foot injury (DTD),Avalanche
2008-11-06,COL,Daniel Tjarnqvist,ll,1,foot injury (DTD),Avalanche
2009-03-17,COL,Daniel Tjarnqvist,torso,facial laceration (DTD),facial laceration (DTD),Avalanche
2008-11-25,COL,Darcy Tucker,ul,23,placed on IR with knee injury,Avalanche
2009-10-26,COL,Darcy Tucker,head,16,placed on IR with concussion,Avalanche
2009-03-18,COL,Darcy Tucker,torso,1,tight back (DTD),Avalanche
2009-10-24,COL,Darcy Tucker,head,concussion (DTD),concussion (DTD),Avalanche
2009-01-28,COL,David Jones,torso,1,placed on IR with shoulder injury,Avalanche
2009-11-28,COL,David Jones,ul,763,placed on IR with torn ACL in left knee (out for season),Avalanche
